title,box_off_num
콩가네,378852.439
허풍,109803.945
젊은 엄마,32820.43406
노라노,42907.68274
노브레싱,939892.0463
말하는 건축 시티:홀,127628.8869
댄서김의 은밀한 교수법,-84356.4567
소원,934083.1795
고양이 소녀,-3114.901279
롤플레이 2 : 동침,-73620.70065
동창생,2613189.154
용의자,3554786.817
미녀전쟁,4086.805728
캐치미,1260923.972
그 강아지 그 고양이,257309.8206
화려한 외출,-43520.63961
오하이오 삿포로,-173222.7838
마이 리틀 히어로,3030961.929
박수건달,3539735.152
배꼽,246350.639
나가요 미스콜,108623.3635
우아한 거짓말,1238913.805
미스터 컴퍼니,22389.32599
우리별 일호와 얼룩소,80093.40931
찌라시: 위험한 소문,2257961.207
조선미녀삼총사,2072253.08
만찬,499320.5067
한 번도 안 해본 여자,167842.6508
살인자,147706.711
  이것이 우리의 끝이다,220488.1882
그댄 나의 뱀파이어,140362.7273
황제를 위하여,1203738.495
레디액션! 폭력영화,114225.5138
스퀴시랜드,157282.2602
우는 남자,3189125.444
하이힐,2153985.079
도희야,475975.4758
표적,2659417.214
10분,230620.6593
메이크 유어 무브,610461.4394
카토 프로젝트,-80589.49218
녀녀녀,59752.4572
방황하는 칼날,2076718.422
바리새인,-18988.90096
욕망의 독: 중독,49739.91558
설계,124092.3431
레쓰링,78813.81949
원 컷 - 어느 친절한 살인자의 기록,20853.22808
픽업 아티스트,267792.9729
옹녀뎐,64379.12608
왓니껴,797467.6486
족구왕,508249.7086
내 연애의 기억,222194.2913
바세코의 아이들,-209.4713457
명량,5882791.196
군도: 민란의 시대,4477899.697
산타바바라,397697.4756
나는 야한 여자가 좋다,-35730.98261
숙희,60056.08652
더 테너 리리코 스핀토,1509500.86
기술자들,2546102.946
신화 라이브 3D 더 레전드 컨티뉴스,71032.06084
악사들,78214.37955
울언니,153559.2093
정사: 위험한 성적유희,-44691.30036
레디액션 청춘,1217515.061
"제자, 옥한흠",103747.7598
환상,-30185.45353
위층여자,123326.0405
가자! 장미여관으로 3 - 방황,100003.4767
나는 야한 여자가 좋다 3,-35730.98261
스물,2339130.623
그라운드의 이방인,164794.2875
살인의뢰,1577868.625
살인캠프,59952.27143
헬머니,1073839.999
조류인간,299996.5737
최강전사 미니특공대 : 새로운 악당의 습격,-38787.63381
생각보다 맑은,-5311.283069
고양이 장례식,280784.5129
설해,447082.2442
나의 절친 악당들,897484.3396
연평해전,2499390.506
극비수사,1369280.598
성난 화가,156508.2583
은밀한 유혹,1613366.111
혜경궁 홍씨,324952.0184
무뢰한,1786811.031
간신,1843462.849
연애의 맛,732375.1658
잡식가족의 딜레마,125087.6198
플랑크 상수,-55591.2866
장수상회,1455932.963
파울볼,51434.99168
춘희막이,194301.5665
덫: 치명적인 유혹,194797.7583
션샤인 러브,279125.5137
사도,2601036.598
돼지 같은 여자,232963.5319
사랑이 이긴다,167864.5269
슈퍼레이서 엔지,58900601
제 7기사단,397065.729
고백,105697.1111
미쓰 와이프,1216372.337
위로공단,134836.352
베테랑,3755938.632
악인은 살아 있다,194977.1902
쓰리 썸머 나잇,1496086.103
마돈나,576620.9861
"나의 아들, 나의 어머니",-16074.62666
슬픈남자,109875.0673
타이밍,148973.2809
타투,259654.705
어떤이의 꿈,-43221.38957
해에게서 소년에게,17725.00829
울보 권투부,22520.87591
어떤살인,707090.4994
말하지 못한 비밀,128583.9674
조선안방 스캔들-칠거지악 2,-42978.64103
