id,count
1096,305.33
1097,230.49
1098,19.08
1099,37.14
1102,196.35
1107,100.46
1109,33.58
1111,123.83
1112,115.16
1114,313.58
1116,278.33
1117,112.46
1118,72.58
1122,130.78
1124,171.72
1127,121.97
1133,226.18
1134,37.85
1135,154.89
1139,298.45
1143,89.34
1150,120.17
1151,116.0
1153,275.29
1155,28.03
1162,27.82
1163,213.54
1166,22.25
1171,90.53
1172,14.36
1173,250.84
1174,85.74
1177,114.17
1178,160.85
1184,175.53
1185,112.85
1186,122.9
1187,162.14
1188,275.46
1191,133.42
1207,121.55
1213,43.11
1215,134.0
1223,176.49
1227,116.73
1236,84.65
1237,87.36
1238,18.87
1241,29.07
1248,17.39
1250,28.29
1251,163.26
1253,114.25
1255,98.28
1257,167.8
1261,115.24
1262,336.56
1265,123.0
1273,183.56
1277,255.84
1278,107.14
1280,113.78
1284,216.36
1285,328.39
1288,28.61
1295,109.47
1297,347.91
1299,248.42
1304,157.51
1308,40.3
1310,97.23
1311,112.93
1314,87.95
1315,101.95
1318,30.36
1320,319.84
1321,293.28
1322,230.47
1330,117.24
1333,161.98
1334,227.19
1341,119.1
1344,139.83
1351,248.08
1354,102.6
1356,83.29
1363,114.5
1365,198.15
1369,128.03
1373,115.65
1375,113.76
1377,89.33
1379,130.47
1380,272.7
1381,101.03
1384,182.89
1390,195.51
1393,229.27
1395,83.18
1399,315.88
1400,100.78
1401,173.24
1404,180.08
1408,15.4
1409,22.11
1413,223.28
1416,275.37
1418,97.2
1423,88.84
1424,26.57
1425,16.23
1433,223.15
1434,133.97
1436,324.37
1442,241.9
1444,83.73
1445,123.45
1452,189.48
1455,164.63
1462,98.58
1467,65.4
1472,45.14
1475,200.87
1493,103.87
1501,221.47
1503,293.95
1504,238.26
1505,14.35
1511,219.13
1512,83.59
1513,79.77
1514,33.08
1528,211.34
1533,239.99
1534,27.7
1536,161.01
1537,71.81
1539,215.93
1550,211.51
1552,210.64
1554,201.99
1555,354.18
1556,101.71
1559,26.94
1563,236.06
1566,140.07
1567,162.23
1568,28.33
1571,228.6
1572,16.44
1574,91.79
1577,18.42
1583,74.94
1585,30.54
1586,198.76
1587,195.7
1596,131.52
1602,26.47
1604,74.64
1605,32.44
1610,308.71
1611,91.66
1616,25.22
1617,97.22
1618,14.72
1622,43.75
1623,35.35
1628,310.45
1631,17.09
1632,202.63
1633,245.17
1634,318.12
1636,234.35
1637,106.44
1643,133.51
1644,99.03
1646,87.54
1648,212.91
1651,35.18
1656,19.03
1658,129.34
1659,17.61
1665,179.74
1666,132.15
1670,35.04
1674,149.35
1679,203.7
1680,217.29
1683,323.21
1686,27.72
1691,96.79
1693,35.92
1696,33.45
1697,94.75
1703,91.35
1706,25.47
1709,171.79
1710,88.32
1712,181.2
1713,122.46
1718,342.31
1719,186.28
1722,270.65
1723,122.03
1724,278.7
1728,62.03
1730,31.13
1732,28.8
1737,38.85
1745,90.17
1747,14.54
1748,15.75
1755,100.21
1759,17.45
1761,269.46
1764,234.59
1765,134.39
1766,91.69
1768,95.61
1770,29.76
1771,142.34
1774,96.13
1785,126.74
1788,192.94
1792,13.65
1794,234.16
1797,126.7
1798,15.74
1799,259.95
1802,101.03
1806,36.65
1808,77.48
1810,248.8
1818,101.52
1819,376.65
1820,281.52
1822,224.86
1826,231.52
1827,170.42
1835,16.95
1841,110.65
1842,143.62
1843,16.63
1846,42.63
1849,96.66
1850,177.01
1851,203.64
1857,82.23
1858,168.66
1860,98.47
1861,250.74
1864,122.1
1869,322.29
1871,101.28
1872,23.96
1875,16.29
1878,222.32
1879,244.89
1885,90.82
1888,117.17
1889,32.44
1890,95.43
1896,131.93
1897,161.59
1898,113.41
1900,97.22
1905,32.84
1908,122.17
1909,98.83
1913,92.76
1918,106.93
1922,311.67
1923,120.81
1925,267.7
1926,130.23
1927,299.48
1930,210.55
1935,64.43
1939,111.22
1942,93.85
1943,217.47
1948,247.25
1949,258.48
1951,100.62
1953,112.33
1959,117.39
1963,17.66
1967,125.83
1973,252.07
1975,27.12
1976,89.71
1990,113.21
1993,111.93
1997,194.53
1999,119.79
2001,299.95
2004,91.06
2010,100.75
2013,121.81
2017,299.72
2021,120.25
2023,155.36
2026,130.24
2037,25.13
2039,196.01
2041,16.35
2046,29.62
2050,15.81
2060,229.96
2067,102.44
2069,129.89
2072,249.21
2074,141.86
2079,102.11
2083,27.02
2085,203.23
2087,17.64
2093,131.63
2094,30.73
2097,28.1
2103,98.44
2104,83.0
2107,193.46
2108,15.46
2110,82.07
2115,165.44
2117,31.63
2125,303.92
2127,246.09
2133,15.12
2134,356.52
2135,118.48
2141,254.68
2143,32.82
2145,85.01
2146,29.78
2147,277.82
2148,90.5
2149,96.01
2165,118.48
2166,168.98
2177,204.28
